wojewodztwo,powiat_miasto,teryt,stan_rekordu_na,liczba_na_10_tys_mieszkancow,liczba_osob_objetych_kwarantanna,liczba_ozdrowiencow,liczba_pozostalych_testow,liczba_przypadkow,liczba_testow_z_wynikiem_negatywnym,liczba_testow_z_wynikiem_pozytywnym,liczba_wykonanych_testow,liczba_zlecen_poz,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych
podlaskie,suwalski,t2012,2021-02-08 00:00:00,0.56,113,3,0,2,4,2,6,0,0,0,0
dolnośląskie,świdnicki,t0219,2021-02-08 00:00:00,0.06,486,22,0,1,8,1,9,1,0,0,0
lubelskie,świdnicki,t0617,2021-02-08 00:00:00,0.98,269,14,0,7,23,9,32,0,0,0,0
zachodniopomorskie,świdwiński,t3216,2021-02-08 00:00:00,0.21,154,6,0,1,18,1,19,0,0,0,0
lubuskie,świebodziński,t0808,2021-02-08 00:00:00,0.54,242,10,0,3,18,4,22,0,0,0,0
kujawsko-pomorskie,świecki,t0414,2021-02-08 00:00:00,0.1,516,17,0,1,21,1,22,0,0,0,0
śląskie,Świętochłowice,t2476,2021-02-08 00:00:00,0.41,58,3,1,2,27,3,31,0,0,0,0
zachodniopomorskie,Świnoujście,t3263,2021-02-08 00:00:00,0.98,240,15,0,4,21,5,26,1,0,0,0
wielkopolskie,szamotulski,t3024,2021-02-08 00:00:00,0.44,287,13,0,4,39,4,43,3,0,0,0
zachodniopomorskie,Szczecin,t3262,2021-02-08 00:00:00,1.17,1645,101,8,47,258,50,316,1,4,0,4
zachodniopomorskie,szczecinecki,t3215,2021-02-08 00:00:00,1.29,227,13,1,10,21,11,33,0,0,0,0
warmińsko-mazurskie,szczycieński,t2817,2021-02-08 00:00:00,0.43,485,20,0,3,18,3,21,0,0,0,0
pomorskie,sztumski,t2216,2021-02-08 00:00:00,0.97,442,16,3,4,43,4,50,0,0,0,0
mazowieckie,szydłowiecki,t1430,2021-02-08 00:00:00,0.25,80,6,0,1,12,1,13,0,0,0,0
podkarpackie,Tarnobrzeg,t1864,2021-02-08 00:00:00,1.5,65,5,0,7,32,7,39,0,0,0,0
podkarpackie,tarnobrzeski,t1820,2021-02-08 00:00:00,0.76,117,2,0,4,33,4,37,0,0,0,0
śląskie,tarnogórski,t2413,2021-02-08 00:00:00,0.71,214,13,0,10,48,11,59,0,0,0,0
małopolskie,Tarnów,t1263,2021-02-08 00:00:00,0.09,156,12,1,1,41,1,43,0,0,0,0
małopolskie,tarnowski,t1216,2021-02-08 00:00:00,0.2,213,10,1,4,72,4,77,0,0,0,0
małopolskie,tatrzański,t1217,2021-02-08 00:00:00,0.15,74,2,0,1,32,1,33,0,0,0,0
pomorskie,tczewski,t2214,2021-02-08 00:00:00,1.73,686,20,2,20,56,21,79,0,0,0,0
lubelskie,tomaszowski,t0618,2021-02-08 00:00:00,0.49,364,13,1,4,26,5,32,1,0,0,0
łódzkie,tomaszowski,t1016,2021-02-08 00:00:00,0,289,7,0,0,35,0,35,0,0,0,0
kujawsko-pomorskie,Toruń,t0463,2021-02-08 00:00:00,1.84,1113,37,1,37,73,44,118,7,0,0,0
kujawsko-pomorskie,toruński,t0415,2021-02-08 00:00:00,0.46,658,36,1,5,26,5,32,1,0,0,0
dolnośląskie,trzebnicki,t0220,2021-02-08 00:00:00,0.23,249,6,0,2,21,2,23,0,0,0,0
kujawsko-pomorskie,tucholski,t0416,2021-02-08 00:00:00,0.62,155,14,0,3,26,6,32,0,0,0,0
wielkopolskie,turecki,t3027,2021-02-08 00:00:00,0.36,318,6,1,3,20,3,24,0,0,0,0
śląskie,Tychy,t2477,2021-02-08 00:00:00,0.63,210,24,0,8,60,10,70,0,1,0,1
kujawsko-pomorskie,wąbrzeski,t0417,2021-02-08 00:00:00,13.19,228,15,4,45,70,49,123,0,0,0,0
małopolskie,wadowicki,t1218,2021-02-08 00:00:00,0.69,360,8,1,11,38,11,50,0,0,0,0
wielkopolskie,wągrowiecki,t3028,2021-02-08 00:00:00,0.28,146,8,1,2,27,2,30,0,0,0,0
dolnośląskie,Wałbrzych,t0265,2021-02-08 00:00:00,0.81,222,13,0,9,23,11,34,0,0,0,0
dolnośląskie,wałbrzyski,t0221,2021-02-08 00:00:00,0.36,148,6,0,2,9,2,11,0,0,0,0
zachodniopomorskie,wałecki,t3217,2021-02-08 00:00:00,0.19,107,7,0,1,23,1,24,0,0,0,0
mazowieckie,Warszawa,t1465,2021-02-08 00:00:00,0.99,8812,391,18,178,1018,194,1230,7,0,0,0
mazowieckie,warszawski zachodni,t1432,2021-02-08 00:00:00,0.5,844,42,1,6,68,6,75,0,0,0,0
warmińsko-mazurskie,węgorzewski,t2819,2021-02-08 00:00:00,0.89,98,8,0,2,4,2,6,0,0,0,0
mazowieckie,węgrowski,t1433,2021-02-08 00:00:00,0.3,189,7,2,2,16,2,20,1,0,0,0
pomorskie,wejherowski,t2215,2021-02-08 00:00:00,0.69,937,48,1,15,106,16,123,0,0,0,0
małopolskie,wielicki,t1219,2021-02-08 00:00:00,0.38,354,4,1,5,40,6,47,0,0,0,0
łódzkie,wieluński,t1017,2021-02-08 00:00:00,0,154,2,1,0,19,0,20,1,0,0,0
łódzkie,wieruszowski,t1018,2021-02-08 00:00:00,0.24,62,2,0,1,10,1,11,0,0,0,0
kujawsko-pomorskie,Włocławek,t0464,2021-02-08 00:00:00,0.55,279,23,0,6,59,6,65,0,0,0,0
kujawsko-pomorskie,włocławski,t0418,2021-02-08 00:00:00,0.81,228,9,1,7,37,7,45,0,0,0,0
lubelskie,włodawski,t0619,2021-02-08 00:00:00,0.26,283,14,0,1,22,2,24,4,0,0,0
świętokrzyskie,włoszczowski,t2613,2021-02-08 00:00:00,0.45,114,3,1,2,20,2,23,0,0,0,0
śląskie,wodzisławski,t2415,2021-02-08 00:00:00,0.13,192,9,0,2,33,2,35,0,0,0,0
mazowieckie,wołomiński,t1434,2021-02-08 00:00:00,0.68,1300,40,2,17,106,20,128,0,0,0,0
dolnośląskie,wołowski,t0222,2021-02-08 00:00:00,0,66,3,0,0,12,0,12,0,0,0,0
wielkopolskie,wolsztyński,t3029,2021-02-08 00:00:00,0.17,180,8,1,1,19,1,21,0,0,0,0
dolnośląskie,Wrocław,t0264,2021-02-08 00:00:00,0.48,2165,67,1,31,181,34,216,1,0,0,0
dolnośląskie,wrocławski,t0223,2021-02-08 00:00:00,0.39,573,16,2,6,44,6,52,0,0,0,0
wielkopolskie,wrzesiński,t3030,2021-02-08 00:00:00,0.51,393,19,0,4,11,4,15,0,1,1,0
lubuskie,wschowski,t0812,2021-02-08 00:00:00,0.26,74,3,0,1,30,1,31,0,0,0,0
podlaskie,wysokomazowiecki,t2013,2021-02-08 00:00:00,1.06,119,7,0,6,16,6,22,0,0,0,0
mazowieckie,wyszkowski,t1435,2021-02-08 00:00:00,0.54,251,10,0,4,18,4,22,0,0,0,0
dolnośląskie,ząbkowicki,t0224,2021-02-08 00:00:00,0.47,74,6,0,3,27,3,30,0,0,0,0
śląskie,Zabrze,t2478,2021-02-08 00:00:00,0.52,377,29,0,9,25,9,34,1,0,0,0
lubuskie,żagański,t0810,2021-02-08 00:00:00,0.38,168,7,0,3,20,4,24,0,0,0,0
podlaskie,zambrowski,t2014,2021-02-08 00:00:00,0,133,7,0,0,14,1,15,0,0,0,0
lubelskie,zamojski,t0620,2021-02-08 00:00:00,0.38,206,7,1,4,34,4,39,1,0,0,0
lubelskie,Zamość,t0664,2021-02-08 00:00:00,0.16,166,7,0,1,22,1,23,0,0,0,0
lubuskie,żarski,t0811,2021-02-08 00:00:00,0.42,434,27,1,4,36,6,43,0,0,0,0
śląskie,zawierciański,t2416,2021-02-08 00:00:00,0.6,209,13,0,7,57,11,68,0,0,0,0
łódzkie,zduńskowolski,t1019,2021-02-08 00:00:00,0.75,123,10,0,5,30,5,35,0,0,0,0
łódzkie,zgierski,t1020,2021-02-08 00:00:00,0.18,550,24,0,3,72,4,76,0,0,0,0
dolnośląskie,zgorzelecki,t0225,2021-02-08 00:00:00,0,240,9,0,0,5,0,5,0,0,0,0
lubuskie,Zielona Góra,t0862,2021-02-08 00:00:00,1.63,543,39,1,23,78,24,103,3,0,0,0
lubuskie,zielonogórski,t0809,2021-02-08 00:00:00,0.4,276,11,0,3,24,5,29,1,0,0,0
dolnośląskie,złotoryjski,t0226,2021-02-08 00:00:00,0,122,5,0,0,1,0,1,0,0,0,0
wielkopolskie,złotowski,t3031,2021-02-08 00:00:00,0.43,292,9,2,3,32,3,37,0,0,0,0
kujawsko-pomorskie,żniński,t0419,2021-02-08 00:00:00,1.14,337,17,0,8,29,8,37,1,0,0,0
śląskie,Żory,t2479,2021-02-08 00:00:00,0,134,4,1,0,14,0,15,0,0,0,0
mazowieckie,żuromiński,t1437,2021-02-08 00:00:00,1.3,59,4,0,5,12,5,17,0,0,0,0
mazowieckie,zwoleński,t1436,2021-02-08 00:00:00,0,119,0,0,0,16,0,16,0,0,0,0
mazowieckie,żyrardowski,t1438,2021-02-08 00:00:00,1.85,572,25,2,14,49,15,66,0,1,1,0
śląskie,żywiecki,t2417,2021-02-08 00:00:00,0.59,596,22,1,9,49,9,59,0,0,0,0
kujawsko-pomorskie,aleksandrowski,t0401,2021-02-07 00:00:00,0.36,150,7,0,2,30,4,34,1,0,0,0
podlaskie,augustowski,t2001,2021-02-07 00:00:00,0.35,124,3,0,2,8,2,10,0,1,0,1
warmińsko-mazurskie,bartoszycki,t2801,2021-02-07 00:00:00,0.88,418,17,0,5,32,8,40,0,0,0,0
śląskie,będziński,t2401,2021-02-07 00:00:00,0.68,411,17,0,10,63,12,75,1,1,0,1
łódzkie,bełchatowski,t1001,2021-02-07 00:00:00,0.53,336,16,1,6,60,8,69,2,0,0,0
lubelskie,Biała Podlaska,t0661,2021-02-07 00:00:00,2.97,179,8,4,17,52,19,75,0,0,0,0
mazowieckie,białobrzeski,t1401,2021-02-07 00:00:00,1.2,297,5,1,4,15,4,20,0,0,0,0
zachodniopomorskie,białogardzki,t3201,2021-02-07 00:00:00,2.32,192,7,0,11,22,11,33,0,0,0,0
podlaskie,białostocki,t2002,2021-02-07 00:00:00,1.73,535,29,1,26,75,28,104,0,0,0,0
lubelskie,bialski,t0601,2021-02-07 00:00:00,1.45,306,9,2,16,71,16,89,0,2,1,1
podlaskie,Białystok,t2061,2021-02-07 00:00:00,1.34,998,67,1,40,138,42,181,0,0,0,0
podlaskie,bielski,t2003,2021-02-07 00:00:00,1.29,204,8,0,7,17,8,25,0,2,0,2
śląskie,bielski,t2402,2021-02-07 00:00:00,0.48,343,16,1,8,79,8,88,0,0,0,0
śląskie,Bielsko-Biała,t2461,2021-02-07 00:00:00,0.82,374,18,1,14,93,14,108,0,0,0,0
śląskie,bieruńsko-lędziński,t2414,2021-02-07 00:00:00,0.67,98,2,0,4,12,4,16,0,0,0,0
podkarpackie,bieszczadzki,t1801,2021-02-07 00:00:00,0,53,3,0,0,15,0,15,0,0,0,0
lubelskie,biłgorajski,t0602,2021-02-07 00:00:00,0.5,300,7,1,5,55,6,62,0,0,0,0
małopolskie,bocheński,t1201,2021-02-07 00:00:00,0.93,238,7,3,10,72,13,88,1,0,0,0
dolnośląskie,bolesławiecki,t0201,2021-02-07 00:00:00,0.78,330,16,1,7,63,10,74,0,0,0,0
warmińsko-mazurskie,braniewski,t2802,2021-02-07 00:00:00,1.71,164,11,0,7,16,7,23,0,0,0,0
kujawsko-pomorskie,brodnicki,t0402,2021-02-07 00:00:00,0,251,12,1,0,25,0,26,0,0,0,0
małopolskie,brzeski,t1202,2021-02-07 00:00:00,0.64,221,8,0,6,93,8,101,0,0,0,0
opolskie,brzeski,t1601,2021-02-07 00:00:00,0.67,247,7,0,6,50,9,59,0,0,0,0
łódzkie,brzeziński,t1021,2021-02-07 00:00:00,1.62,149,12,0,5,19,5,24,0,0,0,0
podkarpackie,brzozowski,t1802,2021-02-07 00:00:00,0.92,149,4,0,6,39,7,46,2,0,0,0
świętokrzyskie,buski,t2601,2021-02-07 00:00:00,0.14,121,4,2,1,39,1,42,0,0,0,0
kujawsko-pomorskie,bydgoski,t0403,2021-02-07 00:00:00,3.01,632,27,4,36,91,39,134,5,0,0,0
kujawsko-pomorskie,Bydgoszcz,t0461,2021-02-07 00:00:00,2.51,1763,115,8,87,302,101,411,9,0,0,0
śląskie,Bytom,t2462,2021-02-07 00:00:00,1.16,281,8,3,19,73,19,95,1,0,0,0
pomorskie,bytowski,t2201,2021-02-07 00:00:00,0.38,224,8,2,3,71,3,76,1,0,0,0
Cały kraj,Cały kraj,t0000,2021-02-07 00:00:00,1.23,138266,5711,466,4728,25782,5105,31353,243,93,33,60
lubelskie,Chełm,t0662,2021-02-07 00:00:00,0.49,135,8,0,3,18,3,21,0,1,0,1
kujawsko-pomorskie,chełmiński,t0404,2021-02-07 00:00:00,2.7,409,12,1,14,34,23,58,1,0,0,0
lubelskie,chełmski,t0603,2021-02-07 00:00:00,0.13,230,7,1,1,33,1,35,0,0,0,0
wielkopolskie,chodzieski,t3001,2021-02-07 00:00:00,1.28,119,3,0,6,18,6,24,0,0,0,0
pomorskie,chojnicki,t2202,2021-02-07 00:00:00,1.13,262,14,0,11,57,11,68,0,0,0,0
śląskie,Chorzów,t2463,2021-02-07 00:00:00,0.56,231,14,1,6,49,7,57,0,0,0,0
zachodniopomorskie,choszczeński,t3202,2021-02-07 00:00:00,2.08,306,6,1,10,26,11,38,1,1,0,1
małopolskie,chrzanowski,t1203,2021-02-07 00:00:00,0.32,193,4,0,4,57,4,61,0,0,0,0
mazowieckie,ciechanowski,t1402,2021-02-07 00:00:00,2.35,546,9,5,21,75,21,101,2,0,0,0
śląskie,cieszyński,t2403,2021-02-07 00:00:00,0.96,398,17,0,17,45,17,62,0,0,0,0
wielkopolskie,czarnkowsko-trzcianecki,t3002,2021-02-07 00:00:00,1.5,322,18,0,13,38,13,51,1,0,0,0
śląskie,Częstochowa,t2464,2021-02-07 00:00:00,0.91,497,16,3,20,123,23,149,0,0,0,0
śląskie,częstochowski,t2404,2021-02-07 00:00:00,0.22,254,9,2,3,87,3,92,6,0,0,0
pomorskie,człuchowski,t2203,2021-02-07 00:00:00,1.07,141,8,2,6,27,8,37,0,0,0,0
śląskie,Dąbrowa Górnicza,t2465,2021-02-07 00:00:00,1.35,285,9,3,16,48,17,68,0,1,0,1
małopolskie,dąbrowski,t1204,2021-02-07 00:00:00,0.34,101,5,0,2,20,2,22,0,0,0,0
podkarpackie,dębicki,t1803,2021-02-07 00:00:00,1.18,172,4,0,16,47,16,63,2,0,0,0
zachodniopomorskie,drawski,t3203,2021-02-07 00:00:00,0.18,218,3,1,1,23,1,25,0,0,0,0
warmińsko-mazurskie,działdowski,t2803,2021-02-07 00:00:00,2.46,676,14,1,16,44,16,61,0,0,0,0
dolnośląskie,dzierżoniowski,t0202,2021-02-07 00:00:00,0,119,5,1,0,34,0,35,0,0,0,0
warmińsko-mazurskie,Elbląg,t2861,2021-02-07 00:00:00,0.67,504,33,0,8,33,9,42,0,0,0,0
warmińsko-mazurskie,elbląski,t2804,2021-02-07 00:00:00,1.23,252,11,0,7,15,7,22,0,0,0,0
warmińsko-mazurskie,ełcki,t2805,2021-02-07 00:00:00,0.22,350,30,1,2,21,2,24,1,3,0,3
mazowieckie,garwoliński,t1403,2021-02-07 00:00:00,0.46,183,3,2,5,51,5,58,0,1,1,0
pomorskie,Gdańsk,t2261,2021-02-07 00:00:00,2.91,3634,150,14,137,299,143,456,27,2,0,2
pomorskie,gdański,t2204,2021-02-07 00:00:00,4.78,1057,29,2,57,130,58,190,4,0,0,0
pomorskie,Gdynia,t2262,2021-02-07 00:00:00,2.4,1192,52,5,59,243,62,310,5,0,0,0
warmińsko-mazurskie,giżycki,t2806,2021-02-07 00:00:00,1.59,366,12,0,9,23,10,33,0,0,0,0
śląskie,Gliwice,t2466,2021-02-07 00:00:00,0.67,463,17,1,12,73,12,86,1,0,0,0
śląskie,gliwicki,t2405,2021-02-07 00:00:00,1.64,300,12,1,19,39,20,60,0,0,0,0
dolnośląskie,głogowski,t0203,2021-02-07 00:00:00,0.68,169,7,0,6,46,6,52,0,0,0,0
opolskie,głubczycki,t1602,2021-02-07 00:00:00,0,142,5,2,0,29,0,31,0,0,0,0
wielkopolskie,gnieźnieński,t3003,2021-02-07 00:00:00,1.79,740,25,1,26,55,26,82,0,2,2,0
warmińsko-mazurskie,gołdapski,t2818,2021-02-07 00:00:00,1.88,126,4,0,5,11,5,16,0,0,0,0
zachodniopomorskie,goleniowski,t3204,2021-02-07 00:00:00,0.73,272,25,3,6,44,7,54,1,0,0,0
kujawsko-pomorskie,golubsko-dobrzyński,t0405,2021-02-07 00:00:00,1.11,229,12,2,5,11,6,19,0,1,1,0
małopolskie,gorlicki,t1205,2021-02-07 00:00:00,0,123,5,2,0,50,1,53,1,0,0,0
dolnośląskie,górowski,t0204,2021-02-07 00:00:00,0.86,42,6,0,3,27,3,30,1,0,0,0
lubuskie,Gorzów Wielkopolski,t0861,2021-02-07 00:00:00,2.35,675,25,0,29,54,30,84,1,0,0,0
lubuskie,gorzowski,t0801,2021-02-07 00:00:00,1.67,408,6,0,12,33,14,47,0,0,0,0
mazowieckie,gostyniński,t1404,2021-02-07 00:00:00,0.89,115,3,1,4,15,4,20,1,0,0,0
wielkopolskie,gostyński,t3004,2021-02-07 00:00:00,0.26,123,11,0,2,39,2,41,0,1,0,1
podlaskie,grajewski,t2004,2021-02-07 00:00:00,0.21,92,7,0,1,23,1,24,0,0,0,0
mazowieckie,grodziski,t1405,2021-02-07 00:00:00,1.65,826,29,0,16,92,17,109,0,0,0,0
wielkopolskie,grodziski,t3005,2021-02-07 00:00:00,1.35,207,7,0,7,40,7,47,1,1,1,0
mazowieckie,grójecki,t1406,2021-02-07 00:00:00,1.12,1959,23,1,11,57,12,70,0,0,0,0
kujawsko-pomorskie,Grudziądz,t0462,2021-02-07 00:00:00,1.91,510,29,2,18,72,19,93,0,0,0,0
kujawsko-pomorskie,grudziądzki,t0406,2021-02-07 00:00:00,1.24,202,11,1,5,15,5,21,0,1,1,0
zachodniopomorskie,gryficki,t3205,2021-02-07 00:00:00,1.67,204,7,1,10,32,11,44,0,0,0,0
zachodniopomorskie,gryfiński,t3206,2021-02-07 00:00:00,0.98,445,23,1,8,112,12,125,2,0,0,0
podlaskie,hajnowski,t2005,2021-02-07 00:00:00,1.18,167,10,0,5,11,6,17,0,0,0,0
lubelskie,hrubieszowski,t0604,2021-02-07 00:00:00,0,88,7,0,0,47,0,47,0,0,0,0
warmińsko-mazurskie,iławski,t2807,2021-02-07 00:00:00,1.62,457,20,1,15,35,15,51,0,0,0,0
kujawsko-pomorskie,inowrocławski,t0407,2021-02-07 00:00:00,1.38,539,11,1,22,82,26,109,2,0,0,0
lubelskie,janowski,t0605,2021-02-07 00:00:00,0,77,4,1,0,20,0,21,0,0,0,0
wielkopolskie,jarociński,t3006,2021-02-07 00:00:00,0.42,219,12,0,3,30,3,33,0,0,0,0
podkarpackie,jarosławski,t1804,2021-02-07 00:00:00,0.83,299,13,1,10,62,12,75,0,1,1,0
podkarpackie,jasielski,t1805,2021-02-07 00:00:00,0.62,250,6,0,7,49,9,58,1,3,0,3
śląskie,Jastrzębie-Zdrój,t2467,2021-02-07 00:00:00,0.23,105,2,0,2,41,2,43,0,0,0,0
dolnośląskie,jaworski,t0205,2021-02-07 00:00:00,0.6,88,1,0,3,40,3,43,0,0,0,0
śląskie,Jaworzno,t2468,2021-02-07 00:00:00,1.43,168,4,1,13,43,13,57,0,0,0,0
świętokrzyskie,jędrzejowski,t2602,2021-02-07 00:00:00,0.35,152,4,4,3,56,5,65,1,0,0,0
dolnośląskie,Jelenia Góra,t0261,2021-02-07 00:00:00,1.9,186,13,0,15,54,15,69,1,0,0,0
dolnośląskie,jeleniogórski,t0206,2021-02-07 00:00:00,1.26,135,14,3,8,40,9,52,0,0,0,0
wielkopolskie,kaliski,t3007,2021-02-07 00:00:00,0.24,349,4,0,2,44,2,46,0,0,0,0
wielkopolskie,Kalisz,t3061,2021-02-07 00:00:00,0.4,200,15,0,4,83,8,91,0,0,0,0
dolnośląskie,kamiennogórski,t0207,2021-02-07 00:00:00,0.23,105,3,0,1,20,3,23,0,0,0,0
zachodniopomorskie,kamieński,t3207,2021-02-07 00:00:00,1.07,175,4,0,5,29,5,34,0,0,0,0
pomorskie,kartuski,t2205,2021-02-07 00:00:00,2.42,818,28,0,34,82,37,119,1,0,0,0
śląskie,Katowice,t2469,2021-02-07 00:00:00,0.69,749,45,3,20,134,22,159,5,0,0,0
świętokrzyskie,kazimierski,t2603,2021-02-07 00:00:00,0,59,1,0,0,31,0,31,0,0,0,0
opolskie,kędzierzyńsko-kozielski,t1603,2021-02-07 00:00:00,0.53,273,16,2,5,82,5,89,0,0,0,0
wielkopolskie,kępiński,t3008,2021-02-07 00:00:00,3.37,303,7,0,19,46,20,66,0,0,0,0
warmińsko-mazurskie,kętrzyński,t2808,2021-02-07 00:00:00,0.32,328,16,0,2,13,2,15,3,0,0,0
świętokrzyskie,Kielce,t2661,2021-02-07 00:00:00,1.6,393,17,7,31,185,32,224,0,0,0,0
świętokrzyskie,kielecki,t2604,2021-02-07 00:00:00,1.04,218,10,2,22,137,24,163,0,0,0,0
śląskie,kłobucki,t2406,2021-02-07 00:00:00,1.07,307,13,0,9,49,9,58,0,0,0,0
dolnośląskie,kłodzki,t0208,2021-02-07 00:00:00,0.76,486,27,0,12,151,13,164,0,0,0,0
opolskie,kluczborski,t1604,2021-02-07 00:00:00,1.23,200,10,3,8,29,8,40,0,0,0,0
podkarpackie,kolbuszowski,t1806,2021-02-07 00:00:00,0,93,5,0,0,19,1,20,0,0,0,0
podlaskie,kolneński,t2006,2021-02-07 00:00:00,1.32,195,4,0,5,15,5,20,0,2,0,2
zachodniopomorskie,kołobrzeski,t3208,2021-02-07 00:00:00,1.01,398,24,0,8,52,9,61,0,0,0,0
wielkopolskie,kolski,t3009,2021-02-07 00:00:00,0.23,165,8,0,2,16,2,18,0,1,1,0
świętokrzyskie,konecki,t2605,2021-02-07 00:00:00,1.89,102,6,4,15,57,17,78,0,0,0,0
wielkopolskie,Konin,t3062,2021-02-07 00:00:00,2.6,289,12,0,19,44,20,64,0,0,0,0
wielkopolskie,koniński,t3010,2021-02-07 00:00:00,1.15,492,12,2,15,60,15,77,0,0,0,0
wielkopolskie,kościański,t3011,2021-02-07 00:00:00,0.63,193,0,0,5,58,5,63,0,1,1,0
pomorskie,kościerski,t2206,2021-02-07 00:00:00,0.82,322,7,1,6,41,6,48,0,0,0,0
zachodniopomorskie,Koszalin,t3261,2021-02-07 00:00:00,2.71,737,41,3,29,111,32,146,0,0,0,0
zachodniopomorskie,koszaliński,t3209,2021-02-07 00:00:00,1.35,379,14,4,9,36,9,49,0,0,0,0
mazowieckie,kozienicki,t1407,2021-02-07 00:00:00,0.67,302,4,0,4,39,4,43,0,0,0,0
małopolskie,Kraków,t1261,2021-02-07 00:00:00,0.85,2229,82,15,66,399,67,481,4,0,0,0
małopolskie,krakowski,t1206,2021-02-07 00:00:00,0.68,779,28,2,19,136,20,158,0,0,0,0
opolskie,krapkowicki,t1605,2021-02-07 00:00:00,0.63,157,4,0,4,55,4,59,0,0,0,0
lubelskie,kraśnicki,t0607,2021-02-07 00:00:00,0.95,216,8,0,9,42,9,51,0,2,1,1
lubelskie,krasnostawski,t0606,2021-02-07 00:00:00,0.79,143,8,0,5,31,5,36,1,0,0,0
lubuskie,krośnieński,t0802,2021-02-07 00:00:00,1.28,230,6,0,7,23,7,30,2,0,0,0
podkarpackie,krośnieński,t1807,2021-02-07 00:00:00,0.36,141,5,0,4,59,6,65,6,0,0,0
podkarpackie,Krosno,t1861,2021-02-07 00:00:00,0.65,88,7,0,3,26,4,30,2,1,0,1
wielkopolskie,krotoszyński,t3012,2021-02-07 00:00:00,0.52,205,12,0,4,37,4,41,1,0,0,0
łódzkie,kutnowski,t1002,2021-02-07 00:00:00,1.04,319,13,1,10,62,10,73,0,0,0,0
pomorskie,kwidzyński,t2207,2021-02-07 00:00:00,2.17,303,23,2,18,55,20,77,0,0,0,0
podkarpackie,łańcucki,t1810,2021-02-07 00:00:00,0.37,172,6,2,3,37,6,45,0,0,0,0
łódzkie,łaski,t1003,2021-02-07 00:00:00,1.41,138,1,0,7,28,7,35,1,0,0,0
pomorskie,lęborski,t2208,2021-02-07 00:00:00,3.48,413,11,5,23,57,26,88,0,0,0,0
łódzkie,łęczycki,t1004,2021-02-07 00:00:00,0.2,248,5,1,1,10,1,12,0,0,0,0
lubelskie,łęczyński,t0610,2021-02-07 00:00:00,0.87,197,7,0,5,59,6,65,0,0,0,0
mazowieckie,legionowski,t1408,2021-02-07 00:00:00,0.75,641,18,1,9,79,9,89,2,1,1,0
dolnośląskie,Legnica,t0262,2021-02-07 00:00:00,1.01,385,23,2,10,52,10,64,0,0,0,0
dolnośląskie,legnicki,t0209,2021-02-07 00:00:00,0.91,135,5,2,5,23,5,30,0,0,0,0
podkarpackie,leski,t1821,2021-02-07 00:00:00,0.38,88,3,0,1,9,1,10,0,0,0,0
wielkopolskie,leszczyński,t3013,2021-02-07 00:00:00,0.52,294,4,0,3,52,3,55,0,0,0,0
wielkopolskie,Leszno,t3063,2021-02-07 00:00:00,0.63,123,7,1,4,55,5,61,0,1,1,0
podkarpackie,leżajski,t1808,2021-02-07 00:00:00,1.16,125,4,1,8,42,9,52,0,0,0,0
warmińsko-mazurskie,lidzbarski,t2809,2021-02-07 00:00:00,0,114,13,0,0,23,0,23,0,2,0,2
małopolskie,limanowski,t1207,2021-02-07 00:00:00,0.23,180,5,0,3,54,3,57,0,0,0,0
kujawsko-pomorskie,lipnowski,t0408,2021-02-07 00:00:00,0.91,239,11,1,6,22,6,29,0,0,0,0
mazowieckie,lipski,t1409,2021-02-07 00:00:00,2.07,160,6,3,7,34,7,44,1,0,0,0
zachodniopomorskie,łobeski,t3218,2021-02-07 00:00:00,0.27,348,13,0,1,15,1,16,0,1,0,1
łódzkie,Łódź,t1061,2021-02-07 00:00:00,1.24,3175,107,16,84,639,94,749,2,0,0,0
łódzkie,łódzki wschodni,t1006,2021-02-07 00:00:00,1.1,283,9,0,8,48,8,56,0,0,0,0
podlaskie,Łomża,t2062,2021-02-07 00:00:00,2.23,369,15,0,14,36,14,50,0,1,0,1
podlaskie,łomżyński,t2007,2021-02-07 00:00:00,0.79,187,7,1,4,21,4,26,0,0,0,0
mazowieckie,łosicki,t1410,2021-02-07 00:00:00,0.33,111,5,0,1,11,2,13,0,0,0,0
łódzkie,łowicki,t1005,2021-02-07 00:00:00,0.77,212,12,0,6,46,6,52,0,0,0,0
podkarpackie,lubaczowski,t1809,2021-02-07 00:00:00,0.73,137,8,1,4,27,5,33,0,0,0,0
dolnośląskie,lubański,t0210,2021-02-07 00:00:00,1.48,151,3,0,8,22,8,30,0,0,0,0
lubelskie,lubartowski,t0608,2021-02-07 00:00:00,0.45,175,11,0,4,42,6,48,0,0,0,0
lubelskie,lubelski,t0609,2021-02-07 00:00:00,0.71,482,20,1,11,94,11,106,2,0,0,0
dolnośląskie,lubiński,t0211,2021-02-07 00:00:00,0,137,11,0,0,46,0,46,0,0,0,0
lubelskie,Lublin,t0663,2021-02-07 00:00:00,0.94,1088,67,1,32,210,33,244,2,0,0,0
śląskie,lubliniecki,t2407,2021-02-07 00:00:00,1.83,358,6,0,14,45,14,59,0,0,0,0
lubelskie,łukowski,t0611,2021-02-07 00:00:00,0.66,207,10,1,7,42,8,51,0,0,0,0
dolnośląskie,lwówecki,t0212,2021-02-07 00:00:00,0.44,63,2,0,2,13,2,15,0,0,0,0
