wojewodztwo,powiat_miasto,teryt,stan_rekordu_na,liczba_na_10_tys_mieszkancow,liczba_osob_objetych_kwarantanna,liczba_ozdrowiencow,liczba_pozostalych_testow,liczba_przypadkow,liczba_testow_z_wynikiem_negatywnym,liczba_testow_z_wynikiem_pozytywnym,liczba_wykonanych_testow,liczba_zlecen_poz,zgony,zgony_w_wyniku_covid_bez_chorob_wspolistniejacych,zgony_w_wyniku_covid_i_chorob_wspolistniejacych
podkarpackie,leski,t1821,2021-03-23 00:00:00,3.03,233,17,0,8,45,9,54,36,0,0,0
wielkopolskie,leszczyński,t3013,2021-03-23 00:00:00,1.56,543,23,0,9,47,10,57,83,0,0,0
wielkopolskie,Leszno,t3063,2021-03-23 00:00:00,2.37,539,38,0,15,45,16,61,113,0,0,0
podkarpackie,leżajski,t1808,2021-03-23 00:00:00,2.74,560,32,1,19,55,21,77,77,0,0,0
warmińsko-mazurskie,lidzbarski,t2809,2021-03-23 00:00:00,11.45,470,11,4,47,58,47,109,89,0,0,0
małopolskie,limanowski,t1207,2021-03-23 00:00:00,0.83,393,15,2,11,90,14,106,60,1,0,1
kujawsko-pomorskie,lipnowski,t0408,2021-03-23 00:00:00,1.22,677,12,0,8,79,9,88,54,0,0,0
mazowieckie,lipski,t1409,2021-03-23 00:00:00,1.19,238,33,2,4,35,5,42,41,0,0,0
zachodniopomorskie,łobeski,t3218,2021-03-23 00:00:00,0.55,354,16,1,2,29,4,34,57,0,0,0
łódzkie,Łódź,t1061,2021-03-23 00:00:00,6.9,7211,370,32,467,1381,511,1924,1448,8,0,8
łódzkie,łódzki wschodni,t1006,2021-03-23 00:00:00,8.84,757,34,2,64,105,68,175,145,0,0,0
podlaskie,Łomża,t2062,2021-03-23 00:00:00,7.8,875,57,3,49,45,52,100,129,0,0,0
podlaskie,łomżyński,t2007,2021-03-23 00:00:00,3.93,791,21,2,20,34,21,57,65,0,0,0
mazowieckie,łosicki,t1410,2021-03-23 00:00:00,0.65,175,2,0,2,22,4,26,26,1,0,1
