,geg_lat,geg_lon,district_name,province_name,param_name,param_formula,date1,value1,date2,value2,date3,value3
0,49.744886,21.454617,jasielski,PODKARPACKIE,dwutlenek azotu,NO2,2021-03-24 21:00:00,23.5177,2021-03-24 20:00:00,14.3731,2021-03-24 19:00:00,10.538
0,49.744886,21.454617,jasielski,PODKARPACKIE,ozon,O3,2021-03-24 21:00:00,23.7589,2021-03-24 20:00:00,41.7433,2021-03-24 19:00:00,49.8994
0,49.744886,21.454617,jasielski,PODKARPACKIE,pył zawieszony PM10,PM10,2021-03-24 21:00:00,,2021-03-24 20:00:00,45.0003,2021-03-24 19:00:00,32.3749
0,49.744886,21.454617,jasielski,PODKARPACKIE,pył zawieszony PM2.5,PM2.5,2021-03-24 21:00:00,,2021-03-24 20:00:00,33.2267,2021-03-24 19:00:00,16.1956
0,49.744886,21.454617,jasielski,PODKARPACKIE,dwutlenek siarki,SO2,2021-03-24 21:00:00,7.64046,2021-03-24 20:00:00,5.07595,2021-03-24 19:00:00,2.97789
0,49.690169,21.749700,Krosno,PODKARPACKIE,pył zawieszony PM2.5,PM2.5,2021-03-24 21:00:00,35.0344,2021-03-24 20:00:00,36.0716,2021-03-24 19:00:00,23.6304
0,49.690169,21.749700,Krosno,PODKARPACKIE,pył zawieszony PM10,PM10,2021-03-24 21:00:00,,2021-03-24 20:00:00,35.9825,2021-03-24 19:00:00,33.1244
0,50.529892,22.112467,niżański,PODKARPACKIE,ozon,O3,2021-03-24 21:00:00,14.2289,2021-03-24 20:00:00,27.4317,2021-03-24 19:00:00,30.8117
0,50.529892,22.112467,niżański,PODKARPACKIE,tlenek węgla,CO,2021-03-24 21:00:00,770.2099999999999,2021-03-24 20:00:00,697.4,2021-03-24 19:00:00,536.24
0,50.529892,22.112467,niżański,PODKARPACKIE,dwutlenek azotu,NO2,2021-03-24 21:00:00,35.1351,2021-03-24 20:00:00,34.9986,2021-03-24 19:00:00,46.5636
0,50.529892,22.112467,niżański,PODKARPACKIE,pył zawieszony PM10,PM10,2021-03-24 21:00:00,82.2375,2021-03-24 20:00:00,71.1864,2021-03-24 19:00:00,59.9405
0,50.529892,22.112467,niżański,PODKARPACKIE,pył zawieszony PM2.5,PM2.5,2021-03-24 21:00:00,65.5892,2021-03-24 20:00:00,53.8579,2021-03-24 19:00:00,42.3776
0,49.784339,22.756239,Przemyśl,PODKARPACKIE,dwutlenek azotu,NO2,2021-03-24 21:00:00,25.6639,2021-03-24 20:00:00,27.7229,2021-03-24 19:00:00,51.9218
0,49.784339,22.756239,Przemyśl,PODKARPACKIE,pył zawieszony PM10,PM10,2021-03-24 21:00:00,67.0206,2021-03-24 20:00:00,63.4858,2021-03-24 19:00:00,148.094
0,49.784339,22.756239,Przemyśl,PODKARPACKIE,pył zawieszony PM2.5,PM2.5,2021-03-24 21:00:00,51.0221,2021-03-24 20:00:00,42.7658,2021-03-24 19:00:00,50.0016
0,49.784339,22.756239,Przemyśl,PODKARPACKIE,dwutlenek siarki,SO2,2021-03-24 21:00:00,10.3994,2021-03-24 20:00:00,8.46872,2021-03-24 19:00:00,10.4516
0,49.784339,22.756239,Przemyśl,PODKARPACKIE,benzen,C6H6,2021-03-24 21:00:00,3.5451,2021-03-24 20:00:00,2.295,2021-03-24 19:00:00,3.01185
0,49.784339,22.756239,Przemyśl,PODKARPACKIE,ozon,O3,2021-03-24 21:00:00,25.3346,2021-03-24 20:00:00,20.8834,2021-03-24 19:00:00,10.9034
0,49.571731,22.195892,sanocki,PODKARPACKIE,pył zawieszony PM10,PM10,2021-03-24 21:00:00,30.4137,2021-03-24 20:00:00,30.7168,2021-03-24 19:00:00,11.1561
0,50.575742,21.688367,Tarnobrzeg,PODKARPACKIE,pył zawieszony PM10,PM10,2021-03-24 21:00:00,33.82,2021-03-24 20:00:00,,2021-03-24 19:00:00,
0,54.305908,22.307681,gołdapski,WARMIŃSKO-MAZURSKIE,tlenek węgla,CO,2021-03-24 21:00:00,548.6990000000001,2021-03-24 20:00:00,621.531,2021-03-24 19:00:00,593.8299999999999
0,54.305908,22.307681,gołdapski,WARMIŃSKO-MAZURSKIE,dwutlenek azotu,NO2,2021-03-24 21:00:00,13.426,2021-03-24 20:00:00,17.2383,2021-03-24 19:00:00,15.228
0,54.305908,22.307681,gołdapski,WARMIŃSKO-MAZURSKIE,ozon,O3,2021-03-24 21:00:00,45.0761,2021-03-24 20:00:00,43.7783,2021-03-24 19:00:00,49.8489
0,54.305908,22.307681,gołdapski,WARMIŃSKO-MAZURSKIE,pył zawieszony PM10,PM10,2021-03-24 21:00:00,53.7562,2021-03-24 20:00:00,59.7893,2021-03-24 19:00:00,46.956
0,54.305908,22.307681,gołdapski,WARMIŃSKO-MAZURSKIE,dwutlenek siarki,SO2,2021-03-24 21:00:00,7.61695,2021-03-24 20:00:00,8.66052,2021-03-24 19:00:00,8.47855
0,54.124819,22.038056,giżycki,WARMIŃSKO-MAZURSKIE,ozon,O3,2021-03-24 21:00:00,42.9734,2021-03-24 20:00:00,45.3074,2021-03-24 19:00:00,51.3566
0,54.124819,22.038056,giżycki,WARMIŃSKO-MAZURSKIE,dwutlenek siarki,SO2,2021-03-24 21:00:00,0.33333,2021-03-24 20:00:00,0.34519,2021-03-24 19:00:00,0.37243
0,54.124819,22.038056,giżycki,WARMIŃSKO-MAZURSKIE,dwutlenek azotu,NO2,2021-03-24 21:00:00,5.22586,2021-03-24 20:00:00,5.85769,2021-03-24 19:00:00,6.70456
0,53.828455,22.348450,ełcki,WARMIŃSKO-MAZURSKIE,dwutlenek siarki,SO2,2021-03-24 21:00:00,5.29362,2021-03-24 20:00:00,5.1729,2021-03-24 19:00:00,5.48252
0,53.828455,22.348450,ełcki,WARMIŃSKO-MAZURSKIE,dwutlenek azotu,NO2,2021-03-24 21:00:00,14.8364,2021-03-24 20:00:00,11.7489,2021-03-24 19:00:00,17.7253
0,53.828455,22.348450,ełcki,WARMIŃSKO-MAZURSKIE,ozon,O3,2021-03-24 21:00:00,53.5189,2021-03-24 20:00:00,59.7656,2021-03-24 19:00:00,55.4139
0,53.828455,22.348450,ełcki,WARMIŃSKO-MAZURSKIE,pył zawieszony PM10,PM10,2021-03-24 21:00:00,18.7188,2021-03-24 20:00:00,16.9117,2021-03-24 19:00:00,19.0285
,geg_lat,geg_lon,district_name,province_name,param_name,param_formula,date1,value1,date2,value2,date3,value3
0,51.115933,17.141125,Wrocław,DOLNOŚLĄSKIE,dwutlenek azotu,NO2,2021-03-24 21:00:00,19.1428,2021-03-24 20:00:00,21.0963,2021-03-24 19:00:00,28.3921
0,51.115933,17.141125,Wrocław,DOLNOŚLĄSKIE,ozon,O3,2021-03-24 21:00:00,42.8533,2021-03-24 20:00:00,44.3244,2021-03-24 19:00:00,38.685
0,51.129378,17.029250,Wrocław,DOLNOŚLĄSKIE,dwutlenek siarki,SO2,2021-03-24 21:00:00,5.51072,2021-03-24 20:00:00,6.2269,2021-03-24 19:00:00,6.2114
0,51.129378,17.029250,Wrocław,DOLNOŚLĄSKIE,benzen,C6H6,2021-03-24 21:00:00,0.6264,2021-03-24 20:00:00,0.4887,2021-03-24 19:00:00,0.3375
0,51.129378,17.029250,Wrocław,DOLNOŚLĄSKIE,tlenek węgla,CO,2021-03-24 21:00:00,345.005,2021-03-24 20:00:00,366.82599999999996,2021-03-24 19:00:00,322.28299999999996
0,51.129378,17.029250,Wrocław,DOLNOŚLĄSKIE,dwutlenek azotu,NO2,2021-03-24 21:00:00,29.7162,2021-03-24 20:00:00,35.875,2021-03-24 19:00:00,38.12
0,51.129378,17.029250,Wrocław,DOLNOŚLĄSKIE,ozon,O3,2021-03-24 21:00:00,35.0856,2021-03-24 20:00:00,33.0533,2021-03-24 19:00:00,36.3539
0,51.129378,17.029250,Wrocław,DOLNOŚLĄSKIE,pył zawieszony PM2.5,PM2.5,2021-03-24 21:00:00,40.9109,2021-03-24 20:00:00,42.6451,2021-03-24 19:00:00,38.821
0,51.129378,17.029250,Wrocław,DOLNOŚLĄSKIE,pył zawieszony PM10,PM10,2021-03-24 21:00:00,51.7576,2021-03-24 20:00:00,54.1353,2021-03-24 19:00:00,53.7973
0,51.086225,17.012689,Wrocław,DOLNOŚLĄSKIE,tlenek węgla,CO,2021-03-24 21:00:00,762.152,2021-03-24 20:00:00,742.3610000000001,2021-03-24 19:00:00,780.9019999999999
0,51.086225,17.012689,Wrocław,DOLNOŚLĄSKIE,dwutlenek azotu,NO2,2021-03-24 21:00:00,52.6591,2021-03-24 20:00:00,64.88,2021-03-24 19:00:00,73.5054
0,51.086225,17.012689,Wrocław,DOLNOŚLĄSKIE,pył zawieszony PM2.5,PM2.5,2021-03-24 21:00:00,,2021-03-24 20:00:00,36.7473,2021-03-24 19:00:00,39.9347
0,51.204503,16.180513,Legnica,DOLNOŚLĄSKIE,benzen,C6H6,2021-03-24 21:00:00,3.49863,2021-03-24 20:00:00,2.70499,2021-03-24 19:00:00,2.31606
0,51.204503,16.180513,Legnica,DOLNOŚLĄSKIE,tlenek węgla,CO,2021-03-24 21:00:00,1004.1999999999999,2021-03-24 20:00:00,545.7769999999999,2021-03-24 19:00:00,566.557
0,51.204503,16.180513,Legnica,DOLNOŚLĄSKIE,dwutlenek azotu,NO2,2021-03-24 21:00:00,44.8332,2021-03-24 20:00:00,33.9279,2021-03-24 19:00:00,43.8639
0,51.204503,16.180513,Legnica,DOLNOŚLĄSKIE,ozon,O3,2021-03-24 21:00:00,18.5733,2021-03-24 20:00:00,33.7903,2021-03-24 19:00:00,26.0014
0,51.204503,16.180513,Legnica,DOLNOŚLĄSKIE,dwutlenek siarki,SO2,2021-03-24 21:00:00,10.539,2021-03-24 20:00:00,10.2344,2021-03-24 19:00:00,6.23121
0,51.204503,16.180513,Legnica,DOLNOŚLĄSKIE,pył zawieszony PM10,PM10,2021-03-24 21:00:00,,2021-03-24 20:00:00,66.1446,2021-03-24 19:00:00,74.7024
0,50.768729,16.269677,Wałbrzych,DOLNOŚLĄSKIE,benzen,C6H6,2021-03-24 21:00:00,6.26346,2021-03-24 20:00:00,5.07735,2021-03-24 19:00:00,0.91746
0,50.768729,16.269677,Wałbrzych,DOLNOŚLĄSKIE,tlenek węgla,CO,2021-03-24 21:00:00,1368.3300000000002,2021-03-24 20:00:00,1227.8,2021-03-24 19:00:00,734.2800000000001
0,50.768729,16.269677,Wałbrzych,DOLNOŚLĄSKIE,dwutlenek azotu,NO2,2021-03-24 21:00:00,53.1876,2021-03-24 20:00:00,53.1371,2021-03-24 19:00:00,22.5993
0,50.768729,16.269677,Wałbrzych,DOLNOŚLĄSKIE,ozon,O3,2021-03-24 21:00:00,18.1989,2021-03-24 20:00:00,9.31889,2021-03-24 19:00:00,39.0678
0,50.768729,16.269677,Wałbrzych,DOLNOŚLĄSKIE,pył zawieszony PM10,PM10,2021-03-24 21:00:00,,2021-03-24 20:00:00,142.757,2021-03-24 19:00:00,72.6398
0,50.768729,16.269677,Wałbrzych,DOLNOŚLĄSKIE,dwutlenek siarki,SO2,2021-03-24 21:00:00,13.3089,2021-03-24 20:00:00,19.7379,2021-03-24 19:00:00,13.1411
0,50.912475,15.312190,lubański,DOLNOŚLĄSKIE,dwutlenek azotu,NO2,2021-03-24 21:00:00,10.3264,2021-03-24 20:00:00,14.0803,2021-03-24 19:00:00,14.4866
0,50.912475,15.312190,lubański,DOLNOŚLĄSKIE,ozon,O3,2021-03-24 21:00:00,65.9167,2021-03-24 20:00:00,60.5347,2021-03-24 19:00:00,60.0806
0,50.972167,14.941319,zgorzelecki,DOLNOŚLĄSKIE,pył zawieszony PM10,PM10,2021-03-24 21:00:00,,2021-03-24 20:00:00,45.7762,2021-03-24 19:00:00,54.9062
0,50.732817,16.648050,dzierżoniowski,DOLNOŚLĄSKIE,pył zawieszony PM10,PM10,2021-03-24 21:00:00,,2021-03-24 20:00:00,69.2172,2021-03-24 19:00:00,74.0185
0,50.433493,16.653660,kłodzki,DOLNOŚLĄSKIE,dwutlenek azotu,NO2,2021-03-24 21:00:00,53.724,2021-03-24 20:00:00,49.0709,2021-03-24 19:00:00,16.7316
0,50.433493,16.653660,kłodzki,DOLNOŚLĄSKIE,ozon,O3,2021-03-24 21:00:00,1.94333,2021-03-24 20:00:00,13.0572,2021-03-24 19:00:00,47.9061
0,50.433493,16.653660,kłodzki,DOLNOŚLĄSKIE,pył zawieszony PM10,PM10,2021-03-24 21:00:00,95.4668,2021-03-24 20:00:00,69.6144,2021-03-24 19:00:00,44.5315
0,50.433493,16.653660,kłodzki,DOLNOŚLĄSKIE,pył zawieszony PM2.5,PM2.5,2021-03-24 21:00:00,70.5916,2021-03-24 20:00:00,53.3678,2021-03-24 19:00:00,37.6981
0,50.942073,17.291333,oławski,DOLNOŚLĄSKIE,dwutlenek azotu,NO2,2021-03-24 21:00:00,17.7462,2021-03-24 20:00:00,28.9804,2021-03-24 19:00:00,28.749
0,50.942073,17.291333,oławski,DOLNOŚLĄSKIE,pył zawieszony PM10,PM10,2021-03-24 21:00:00,,2021-03-24 20:00:00,53.6489,2021-03-24 19:00:00,49.7572
0,50.942073,17.291333,oławski,DOLNOŚLĄSKIE,ozon,O3,2021-03-24 21:00:00,47.2083,2021-03-24 20:00:00,39.8683,2021-03-24 19:00:00,43.1478
0,51.317630,15.431719,bolesławiecki,DOLNOŚLĄSKIE,dwutlenek azotu,NO2,2021-03-24 21:00:00,8.85203,2021-03-24 20:00:00,8.53336,2021-03-24 19:00:00,9.21372
0,51.317630,15.431719,bolesławiecki,DOLNOŚLĄSKIE,ozon,O3,2021-03-24 21:00:00,30.6261,2021-03-24 20:00:00,34.6944,2021-03-24 19:00:00,44.3839
0,51.317630,15.431719,bolesławiecki,DOLNOŚLĄSKIE,dwutlenek siarki,SO2,2021-03-24 21:00:00,5.56309,2021-03-24 20:00:00,5.89633,2021-03-24 19:00:00,4.68308
0,50.736389,15.739722,karkonoski,DOLNOŚLĄSKIE,ozon,O3,2021-03-24 21:00:00,77.1268,2021-03-24 20:00:00,80.9833,2021-03-24 19:00:00,77.2422
0,51.150391,15.008175,zgorzelecki,DOLNOŚLĄSKIE,benzen,C6H6,2021-03-24 21:00:00,1.4742,2021-03-24 20:00:00,1.27899,2021-03-24 19:00:00,0.91287
0,50.913433,15.765608,Jelenia Góra,DOLNOŚLĄSKIE,dwutlenek azotu,NO2,2021-03-24 21:00:00,36.3487,2021-03-24 20:00:00,47.7009,2021-03-24 19:00:00,47.6051
0,50.913433,15.765608,Jelenia Góra,DOLNOŚLĄSKIE,ozon,O3,2021-03-24 21:00:00,8.34,2021-03-24 20:00:00,9.98889,2021-03-24 19:00:00,19.4922
0,50.913433,15.765608,Jelenia Góra,DOLNOŚLĄSKIE,pył zawieszony PM10,PM10,2021-03-24 21:00:00,74.1642,2021-03-24 20:00:00,68.3736,2021-03-24 19:00:00,66.7603
0,50.913433,15.765608,Jelenia Góra,DOLNOŚLĄSKIE,pył zawieszony PM2.5,PM2.5,2021-03-24 21:00:00,65.4681,2021-03-24 20:00:00,55.1544,2021-03-24 19:00:00,45.3764
0,50.913433,15.765608,Jelenia Góra,DOLNOŚLĄSKIE,dwutlenek siarki,SO2,2021-03-24 21:00:00,6.77659,2021-03-24 20:00:00,6.88792,2021-03-24 19:00:00,6.2706
0,50.913433,15.765608,Jelenia Góra,DOLNOŚLĄSKIE,benzen,C6H6,2021-03-24 21:00:00,2.02327,2021-03-24 20:00:00,1.38902,2021-03-24 19:00:00,1.19287
0,50.913433,15.765608,Jelenia Góra,DOLNOŚLĄSKIE,tlenek węgla,CO,2021-03-24 21:00:00,628.855,2021-03-24 20:00:00,588.3969999999999,2021-03-24 19:00:00,481.516
0,51.166236,16.597559,średzki,DOLNOŚLĄSKIE,pył zawieszony PM10,PM10,2021-03-24 21:00:00,68.2573,2021-03-24 20:00:00,76.7423,2021-03-24 19:00:00,66.0378
0,51.166236,16.597559,średzki,DOLNOŚLĄSKIE,pył zawieszony PM2.5,PM2.5,2021-03-24 21:00:00,62.9947,2021-03-24 20:00:00,70.2243,2021-03-24 19:00:00,61.0632
0,50.581492,16.498245,kłodzki,DOLNOŚLĄSKIE,pył zawieszony PM10,PM10,2021-03-24 21:00:00,,2021-03-24 20:00:00,236.387,2021-03-24 19:00:00,99.35
0,51.119011,15.275539,lubański,DOLNOŚLĄSKIE,dwutlenek azotu,NO2,2021-03-24 21:00:00,34.3628,2021-03-24 20:00:00,19.441,2021-03-24 19:00:00,35.6126
0,51.119011,15.275539,lubański,DOLNOŚLĄSKIE,tlenek węgla,CO,2021-03-24 21:00:00,1452.93,2021-03-24 20:00:00,835.055,2021-03-24 19:00:00,812.4879999999999
0,51.119011,15.275539,lubański,DOLNOŚLĄSKIE,ozon,O3,2021-03-24 21:00:00,10.9448,2021-03-24 20:00:00,34.6791,2021-03-24 19:00:00,38.7465
0,51.119011,15.275539,lubański,DOLNOŚLĄSKIE,pył zawieszony PM10,PM10,2021-03-24 21:00:00,,2021-03-24 20:00:00,105.308,2021-03-24 19:00:00,139.003
0,51.304817,17.071367,trzebnicki,DOLNOŚLĄSKIE,dwutlenek azotu,NO2,2021-03-24 21:00:00,21.0203,2021-03-24 20:00:00,17.7386,2021-03-24 19:00:00,18.4247
0,51.304817,17.071367,trzebnicki,DOLNOŚLĄSKIE,pył zawieszony PM10,PM10,2021-03-24 21:00:00,,2021-03-24 20:00:00,41.8021,2021-03-24 19:00:00,45.3297
0,51.304817,17.071367,trzebnicki,DOLNOŚLĄSKIE,ozon,O3,2021-03-24 21:00:00,36.6241,2021-03-24 20:00:00,43.0666,2021-03-24 19:00:00,47.8497
0,51.527850,17.276844,milicki,DOLNOŚLĄSKIE,pył zawieszony PM2.5,PM2.5,2021-03-24 21:00:00,55.3754,2021-03-24 20:00:00,48.2031,2021-03-24 19:00:00,48.5381
0,51.527850,17.276844,milicki,DOLNOŚLĄSKIE,pył zawieszony PM10,PM10,2021-03-24 21:00:00,59.0151,2021-03-24 20:00:00,52.6229,2021-03-24 19:00:00,53.5267
0,50.981906,16.266522,świdnicki,DOLNOŚLĄSKIE,pył zawieszony PM10,PM10,2021-03-24 21:00:00,,2021-03-24 20:00:00,148.802,2021-03-24 19:00:00,296.968
0,53.121774,17.987883,Bydgoszcz,KUJAWSKO-POMORSKIE,benzen,C6H6,2021-03-24 21:00:00,1.54,2021-03-24 20:00:00,1.14,2021-03-24 19:00:00,0.85
0,53.121774,17.987883,Bydgoszcz,KUJAWSKO-POMORSKIE,tlenek węgla,CO,2021-03-24 21:00:00,581.0,2021-03-24 20:00:00,637.0,2021-03-24 19:00:00,536.0
0,53.121774,17.987883,Bydgoszcz,KUJAWSKO-POMORSKIE,dwutlenek azotu,NO2,2021-03-24 21:00:00,35.0,2021-03-24 20:00:00,42.4,2021-03-24 19:00:00,38.8
