"";"teryt";"powiaty";"Ludność..Population";"ludnosc.na.1km2"
"212";"1820";"   tarnobrzeski";52965;102
"213";"1861";"   Krosno";46291;1064
"214";"1862";"   Przemyśl";60689;1314
"215";"1863";"   Rzeszów";196208;1550
"216";"1864";"   Tarnobrzeg";46745;547
"217";"2001";"   augustowski";58068;35
"218";"2002";"   białostocki";149611;50
"219";"2003";"   bielski";54353;39
"220";"2004";"   grajewski";47210;49
"221";"2005";"   hajnowski";42610;26
"222";"2006";"   kolneński";38057;40
"223";"2007";"   łomżyński";50943;38
"224";"2008";"   moniecki";40412;29
"225";"2009";"   sejneński";19914;23
"226";"2010";"   siemiatycki";44193;30
"227";"2011";"   sokólski";66686;32
"228";"2012";"   suwalski";35674;27
"229";"2013";"   wysokomazowiecki";56860;44
"230";"2014";"   zambrowski";43505;59
"231";"2061";"   Białystok";297554;2913
"232";"2062";"   Łomża";62945;1927
"233";"2063";"   Suwałki";69758;1065
"234";"2201";"   bytowski";79198;36
"235";"2202";"   chojnicki";97645;72
"236";"2203";"   człuchowski";56085;36
"237";"2204";"   gdański";118489;149
"238";"2205";"   kartuski";139397;124
"239";"2206";"   kościerski";72688;62
"240";"2207";"   kwidzyński";83174;100
"241";"2208";"   lęborski";66115;93
"242";"2209";"   malborski";63470;128
"243";"2210";"   nowodworski";35580;53
"244";"2211";"   pucki";86684;149
"245";"2212";"   słupski";98686;43
"246";"2213";"   starogardzki";128186;95
"247";"2216";"   sztumski";41302;57
"248";"2214";"   tczewski";115728;166
"249";"2215";"   wejherowski";217846;169
"250";"2261";"   Gdańsk";470907;1798
"251";"2262";"   Gdynia";246348;1823
"252";"2263";"   Słupsk";90681;2102
"253";"2264";"   Sopot";35719;2067
"254";"2401";"   będziński";148089;407
"255";"2402";"   bielski";165960;362
"256";"2414";"   bieruńsko-lędziński";59776;378
"257";"2403";"   cieszyński";178191;244
"258";"2404";"   częstochowski";134555;88
"259";"2405";"   gliwicki";115528;174
"260";"2406";"   kłobucki";84591;95
"261";"2407";"   lubliniecki";76451;93
"262";"2408";"   mikołowski";98990;425
"263";"2409";"   myszkowski";70880;148
"264";"2410";"   pszczyński";111539;237
"265";"2411";"   raciborski";108211;199
"266";"2412";"   rybnicki";78213;350
"267";"2413";"   tarnogórski";140519;218
"268";"2415";"   wodzisławski";157088;548
"269";"2416";"   zawierciański";117624;117
"270";"2417";"   żywiecki";152756;147
"271";"2461";"   Bielsko-Biała";170663;1371
"272";"2462";"   Bytom";165263;2380
"273";"2463";"   Chorzów";107807;3243
"274";"2464";"   Częstochowa";220433;1380
"275";"2465";"   Dąbrowa Górnicza";119373;633
"276";"2466";"   Gliwice";178603;1334
"277";"2467";"   Jastrzębie-Zdrój";88743;1040
